title,houseType,state,position,tags,unitPrice,totalPrice
碧桂园观麓花园,住宅,下期待开,龙岗区/龙岗宝荷/龙岗碧新路与植物园路交汇处,贴心物业 公交直达 近主干道 绿化率高,价格待定,
银领公馆,住宅,在售,龙岗区/布吉大芬/龙岗布澜路与龙岗大道交汇处,免费专车 小户型 地铁沿线 多轨交汇 现房,49000  元/平(均价),总价367万/套
亚钢1号,写字楼,下期待开,龙岗区/平湖/龙岗平湖街道富安大道与水门路交汇处东北,购物方便 美食云集,价格待定,
保利24季,住宅,在售,大鹏新区/大鹏半岛/大鹏办事处鹏飞路与爱康路交汇处南侧,品牌房企 小型社区 人车分流,27000  元/平(均价),总价230万/套
东关乐尚林居,住宅,在售,南山区/南头/南山同乐中山园路西侧,免费专车 近主干道 绿化率高 小型社区 购物方便,78000  元/平(均价),总价1350万/套
建信天宸,住宅,在售,龙岗区/横岗/龙岗横岗街道康乐路与龙岗大道交汇处,近主干道 绿化率高 购物方便 美食云集,44000  元/平(均价),总价415万/套
易尚中心,写字楼,在售,宝安区/宝安中心/甲岸南路与金科路交汇处,现房 购物方便 美食云集,80000  元/平(均价),
富宏凤凰天誉,住宅,在售,宝安区/西乡/西乡前进二路与宝田一路交汇处,免费专车 近主干道,65000  元/平(均价),总价800万/套
奥园峯荟,底商,在售,光明区/公明/公明街道南环大道与振兴路交汇处,公交直达 现房 配套齐全 购物方便,60000  元/平(均价),
前海金融中心,写字楼,在售,南山区/前海/深圳前海临海大道与桂湾三路交汇处,地铁沿线 现房 车位充足 美食云集,95000  元/平(均价),
红山6979,底商,在售,龙华区/红山/腾龙路与中梅路交汇处东侧,自持商业 地铁沿线 公交直达 现房,140000  元/平(均价),
德弘基·碧桂园·前海荟,住宅,在售,宝安区/西乡/宝安大道与新安六路交汇西南处,品牌房企 近主干道 现房 车位充足,75000  元/平(均价),总价880万/套
德弘基·碧桂园·前海荟,商业类,下期待开,宝安区/西乡/宝安大道德弘基·碧桂园·前海荟,现房 车位充足 银行,价格待定,
中粮天悦广场,写字楼,在售,宝安区/新安/深圳宝安新安二路与公园路交汇处,品牌房企 健身跑道 地铁沿线 公交直达,48000  元/平(均价),
中粮天悦广场,底商,在售,宝安区/新安/深圳宝安新安二路与公园路交汇处,品牌房企 小户型 地铁沿线 公交直达,110000  元/平(均价),总价467万/套
远洋新天地二期,底商,在售,龙岗区/龙岗中心城/龙岗中心城盛龙路与碧新路交汇处,低单价 品牌房企 现房 人车分流,60000  元/平(均价),
前海嘉里中心,商业类,在售,南山区/前海/南山前湾一路与临海大道交汇处,购物方便 综合商场 公园 景区,94000  元/平(均价),
东海国际公寓,商业类,在售,福田区/香蜜湖/深南大道7888号,复式 地铁沿线 公交直达 现房,130000  元/平(均价),总价1830万/套
恒裕嘉城,底商,在售,龙岗区/坪地/赤石岗697号,现房 配套齐全 购物方便 公园,80000  元/平(均价),总价800万/套
绿景天玺湾项目,住宅,下期待开,大鹏新区/大鹏半岛/大鹏湾畔葵涌街道（南邻官湖路）,大型社区 海景,价格待定,
盛意家园,住宅,下期待开,宝安区/宝安中心/宝安大道与创业一路交汇处,近主干道 现房 小型社区 成熟商圈,价格待定,
帝景台,住宅,在售,罗湖区/新秀/罗湖罗沙路南，延芳路旁罗芳村,复式 近主干道 现房 小型社区,70000  元/平(均价),总价540万/套
御品峦山花园,住宅,下期待开,宝安区/桃源居/宝安 西乡街道广深公路与航城大道交汇处,近主干道 车位充足 绿化率高,价格待定,
博林天瑞,住宅,在售,南山区/大学城/南山沙河西路与留仙大道交汇处,小户型 复式 环线房 近主干道,650  万/套(总价),总价660万/套
汉京九榕台,住宅,在售,南山区/前海/自贸区小南山观山道一号（小南山半山，月亮湾山庄旁）,复式 现房 车位充足,160000  元/平(均价),总价8320万/套
鸿荣源·壹方中心|玖誉,住宅,在售,宝安区/宝安中心/前海·新湖路与创业一路交汇处,品牌房企 自持商业 地铁沿线 公交直达,126000  元/平(均价),总价5376万/套
山语清晖,住宅,在售,福田区/梅林/福龙路山语清晖,现房 绿化率高,90000  元/平(均价),总价1719万/套
满京华云晓公馆,住宅,在售,宝安区/西乡/西乡黄田村107国道俊景园北侧,免费专车 贴心物业 休闲会所 地铁沿线 现房,52000  元/平(均价),总价640万/套
卓越星源,住宅,在售,龙岗区/平湖/深圳平湖富安大道科园西路中环大道与阳光路交汇处,品牌房企 公交直达 现房 大型社区,40000  元/平(均价),总价576万/套
名居广场,住宅,在售,龙岗区/龙岗中心城/龙岗大道与如意路交汇处东北侧,贴心物业 水系园林 地铁沿线 现房,46000  元/平(均价),总价680万/套
宝昌利御景御峰公馆,住宅,在售,龙岗区/龙岗宝荷/深圳市龙岗区宝荷路支路，宝荷欣苑西侧,小型社区 银行 山景 医疗配套,39000  元/平(均价),
阳光粤海,住宅,在售,南山区/科技园/南山·科技南一路,私属庭院 近主干道 现房 人车分流,89000  元/平(均价),总价1210.4万/套
合正安托山,住宅,下期待开,福田区/竹子林/侨香路与安托山六路交汇处西北侧园区,小型社区 娱乐丰富 运动健身 休闲广场,价格待定,
松茂御城,住宅,下期待开,光明区/公明/松白路与碧塘路交汇处,近主干道 绿化率高 大型社区 购物方便,价格待定,
金亨利都荟首府,住宅,未开盘,龙华区/红山/民宝路与腾龙路交汇处,大型社区,79000  元/平(均价),
鹏华世家华府,住宅,在售,龙岗区/平湖/平湖广场东侧,免费专车 现房 车位充足 购物方便 美食云集,39000  元/平(均价),总价400万/套
倚龙华庭,住宅,在售,龙岗区/布吉大芬/大芬村桔子坑,近主干道 现房 小型社区 成熟商圈,580  万/套(总价),总价550万/套
联泰梅沙湾,别墅,下期待开,盐田区/梅沙/盐田大梅沙环梅路与海滨公园路交汇处,低密居所 绿化率高 购物方便 美食云集,价格待定,
花样年家天下,住宅,在售,大鹏新区/大鹏半岛/葵坪路与金葵西路交汇处西南100米,科技住宅 自持商业 现房 绿化率高,290  万/套(总价),总价278万/套
传麒东湖名苑,住宅,在售,罗湖区/百仕达/布心路与爱国路交汇处,免费专车 小户型 品牌房企 公交直达 现房,69000  元/平(均价),总价480万/套
龙胜旧村片区,住宅,下期待开,龙华区/龙华中心/大浪街道,低单价 地铁沿线 近主干道 大型社区,30000  元/平(均价),
东都中央王座,住宅,在售,龙岗区/龙岗中心城/龙翔大道与怡翠路交汇处（公园大地正对面）,贴心物业 地铁沿线 环线房 现房,48000  元/平(均价),总价585万/套
凯东吉祥悦府,住宅,在售,龙岗区/龙岗双龙/深圳市坪地坪西村，吉祥一路西侧,近主干道 娱乐丰富 运动健身 公园,35000  元/平(均价),
悦千山雅园,住宅,在售,盐田区/盐田港/盐田港后方陆域北山道北面,小户型 复式 小型社区 银行,45000  元/平(均价),总价280万/套
半山悦海花园,住宅,在售,盐田区/沙头角/沙头角梧桐山隧道口旁,免费专车 水系园林 人车分流 娱乐丰富 运动健身,55000  元/平(均价),总价643万/套
天峦湖二期,住宅,在售,坪山区/坪山/比亚迪路转坪马线公路大山陂水库东侧,临近高速 现房 大型社区 娱乐丰富,43000  元/平(均价),总价340万/套
招商渔二村旧改,住宅,下期待开,南山区/蛇口/蛇口老街以南、望海路以北、湾厦路以西、蓝漪路以东,品牌房企 近主干道 小型社区 购物方便,价格待定,
梓盛发·创意新城,住宅,下期待开,龙岗区/丹竹头/李南路42号,公交直达 车位充足 大型社区 购物方便,价格待定,
康达尔山海上城二期,住宅,未开盘,宝安区/西乡/宝安大道4568号,公交直达 现房 大型社区 配套齐全,58000  元/平(均价),总价1000万/套
明辉花园,住宅,下期待开,宝安区/西乡/宝安福永街道宝安大道东侧（福永中学附近）,地铁沿线 公交直达 低密居所 小型社区,价格待定,
莱蒙水榭蓝湾,住宅,下期待开,大鹏新区/大鹏半岛/大鹏新区葵涌街道官湖路南侧,公交直达 低密居所 小型社区 银行,价格待定,
